,dataCode,ordinal,ordering,reassignments,default_value,default_related_field,ValueType,tree,num_fields,number_values
330,100352,0,,,NA,NA,Categorical single,FALSE,2,3
331,100356,0,,,NA,NA,Categorical single,FALSE,2,7
332,100357,0,,,NA,NA,Categorical single,FALSE,2,5
333,100358,0,,,NA,NA,Categorical single,FALSE,2,4
334,100359,0,,0=1|2=1|NA=0,NA,NA,Categorical single,FALSE,2,5
335,100360,0,,,NA,NA,Categorical single,FALSE,2,4
336,100361,-1,,,NA,NA,Categorical multiple,FALSE,2,7
337,100369,0,,,NA,NA,Categorical single,FALSE,2,6
338,100370,0,,,NA,NA,Categorical single,FALSE,2,4
339,100377,0,,,NA,NA,Categorical single,FALSE,2,8
340,100385,-1,,,NA,NA,Categorical multiple,FALSE,2,6
341,100387,0,,,NA,NA,Categorical single,FALSE,2,8
342,100388,0,,,NA,NA,Categorical single,FALSE,2,6
343,100389,0,,,NA,NA,Categorical single,FALSE,2,9
344,100391,0,,,NA,NA,Categorical single,FALSE,2,6
345,100393,0,,,NA,NA,Categorical single,FALSE,2,7
346,100394,0,,,NA,NA,Categorical single,FALSE,2,5
347,100397,0,,,NA,NA,Categorical single,FALSE,2,6
348,100398,0,,,NA,NA,Categorical single,FALSE,2,5
349,100400,0,,,NA,NA,Categorical single,FALSE,2,4
350,100401,0,,,NA,NA,Categorical single,FALSE,2,5
351,100402,0,,,NA,NA,Categorical single,FALSE,2,7
352,100416,0,,,NA,NA,Categorical single,FALSE,2,5
353,100417,0,,,NA,NA,Categorical single,FALSE,2,5
354,100418,0,,,NA,NA,Categorical single,FALSE,2,7
355,100420,0,,,NA,NA,Categorical single,FALSE,2,8
356,100428,0,1|3|2,,NA,NA,Categorical single,FALSE,2,5
357,100429,0,1|3|2,,NA,NA,Categorical single,FALSE,2,5
358,100430,0,,,NA,NA,Categorical single,FALSE,2,4
359,100431,0,,,NA,NA,Categorical single,FALSE,2,8
360,100432,0,,,NA,NA,Categorical single,FALSE,2,6
361,100434,0,,,NA,NA,Categorical single,FALSE,2,8
362,100435,0,1|3|2,,NA,NA,Categorical single,FALSE,2,5
363,100478,0,,,NA,NA,Categorical single,FALSE,2,8
364,100479,0,,7=-4,NA,NA,Categorical single,FALSE,2,9
365,100484,0,,,NA,NA,Categorical single,FALSE,2,6
366,100498,-1,,,NA,NA,Categorical multiple,FALSE,2,6
367,100499,0,,12=11,NA,NA,Categorical single,FALSE,2,5
368,100500,0,,,NA,NA,Categorical single,FALSE,2,4
369,100501,0,,,NA,NA,Categorical single,FALSE,2,8
370,100502,-1,,,NA,NA,Categorical multiple,FALSE,2,8
371,100503,0,,,NA,NA,Categorical single,FALSE,2,2
372,100508,0,,,NA,NA,Categorical single,FALSE,2,6
